复古像素游戏风随机印花 50 款：货号 BO-1321 到 BO-1370。
无外框约束，保留主体图标、短文字和少量散落像素点，透明底。
要求黑色和白色 T 恤上都清晰，避免品牌、真实游戏 IP、明星、球队和受保护角色元素。

BO-1321: CROWN / CROWN / crown
BO-1322: FLAG / FLAG / flag
BO-1323: POWER / POWER / flame
BO-1324: PIXEL / PIXEL / blocks
BO-1325: LUCK / LUCK / dice
BO-1326: STAR / STAR / star
BO-1327: JOYSTICK / PLAY / joystick
BO-1328: MAGE / MAGE / wizard
BO-1329: GEM / GEM / gem
BO-1330: FIRE / FIRE / sword
BO-1331: SHIELD / GUARD / shield
BO-1332: START / START / controller
BO-1333: PLANET / ORBIT / planet
BO-1334: VAULT / VAULT / chest
BO-1335: SPELL / SPELL / wizard
BO-1336: HELM / HELM / helmet
BO-1337: LASER / LASER / bolt
BO-1338: BONUS / BONUS / coin
BO-1339: NOVA / NOVA / star
BO-1340: FINAL / FINAL / sword
BO-1341: BOSS / BOSS / invader
BO-1342: MAP / MAP / map
BO-1343: SPEED / SPEED / racer
BO-1344: BOLT / BOLT / bolt
BO-1345: GLITCH / GLITCH / blocks
BO-1346: DICE / DICE / dice
BO-1347: ALIEN / ALIEN / invader
BO-1348: TOKEN / TOKEN / coin
BO-1349: COIN / COIN / coin
BO-1350: POTION / POTION / potion
BO-1351: ARCADE / ARCADE / joystick
BO-1352: TURBO / TURBO / racer
BO-1353: ROCKET / BOOST / rocket
BO-1354: SAVE / SAVE / tape
BO-1355: SPARK / SPARK / bolt
BO-1356: MUSIC / BEEP / music
BO-1357: PAD / PAD / controller
BO-1358: LOOT / LOOT / chest
BO-1359: TAPE / TAPE / tape
BO-1360: DRIFT / DRIFT / racer
BO-1361: CRYSTAL / CRYSTAL / gem
BO-1362: KEY / KEY / key
BO-1363: RUNE / RUNE / shield
BO-1364: LEVEL / LEVEL / flag
BO-1365: SIGNAL / SIGNAL / music
BO-1366: TARGET / TARGET / target
BO-1367: FLAME / FLAME / flame
BO-1368: PORTAL / PORTAL / portal
BO-1369: WARP / WARP / portal
BO-1370: QUEST / QUEST / map
