混合拼贴街头风印花 50 款：货号 BO-1256 到 BO-1305。
定位：商业 T 恤胸前局部印花，透明底，适合黑色/白色/灰色 T 恤。
共性：撕纸块、胶带条、半色调点阵、编号、箭头、星芒和街头排版；避免真实品牌、明星、球队、动漫和版权元素。

OPEN LATE: OPEN LATE / 23:59
ROUGH EDGE: ROUGH EDGE / CUT 22
NEON DUST: NEON DUST / GLOW 12
RUSH HOUR: RUSH HOUR / TIME 19
FRONT ROW: FRONT ROW / SEAT 18
PUBLIC SIGNAL: PUBLIC SIGNAL / BAND 07
GRAFF NOTE: GRAFF NOTE / NO. 04
OFFLINE CLUB: OFFLINE CLUB / DROP 02
METRO BEAT: METRO BEAT / LINE 14
CITY NOISE: CITY NOISE / NO. 17
MIX CUT: MIX CUT / ZONE 12
SUBWAY SUN: SUBWAY SUN / LINE 01
LOUD SILENCE: LOUD SILENCE / MUTE 01
SMALL SCENE: SMALL SCENE / VIEW 04
FAST SLOW: FAST SLOW / PACE 44
FRESH STATIC: FRESH STATIC / AIR 09
DRY PAINT: DRY PAINT / MARK 15
SPLIT SECOND: SPLIT SECOND / SEC 08
ODD SIGNAL: ODD SIGNAL / PING 10
STAY OUT: STAY OUT / OPEN 05
DUSTY DISCO: DUSTY DISCO / VINYL 02
POSTER BOY: POSTER BOY / WALL 16
SKIP TOWN: SKIP TOWN / MOVE 29
NIGHT SHIFT: NIGHT SHIFT / LATE 06
HALF TONE: HALF TONE / DOT 32
LOCAL LEGEND: LOCAL LEGEND / TAG 25
RAW MOOD: RAW MOOD / TYPE 09
RANDOM POST: RANDOM POST / MAIL 09
BLOCK PARTY: BLOCK PARTY / AREA 03
STREET TAPE: STREET TAPE / CUT 11
FOUND TYPE: FOUND TYPE / FONT 33
AFTER HOUR: AFTER HOUR / 24/7
URBAN PATCH: URBAN PATCH / EDIT 08
PAPER TRAIL: PAPER TRAIL / PATH 24
DAILY DROP: DAILY DROP / NEW 07
TINY RIOT: TINY RIOT / UNIT 20
BACK ALLEY: BACK ALLEY / WAY 10
STATIC SUMMER: STATIC SUMMER / VOL. 5
LOW FIDELITY: LOW FIDELITY / TAPE 13
QUIET TAG: QUIET TAG / SOFT 14
SUNDAY WALL: SUNDAY WALL / REST 03
PATCH WORK: PATCH WORK / FILE 21
WILD FORMAT: WILD FORMAT / LAY 28
WALL FLOWER: WALL FLOWER / BLOOM 06
FLOOR TICKET: FLOOR TICKET / PASS 22
SIDE WALK: SIDE WALK / STEP 18
NO PLAN: NO PLAN / FREE 31
CUT PAPER: CUT PAPER / SHEET 05
SIDE QUEST: SIDE QUEST / MAP 27
CITY GHOST: CITY GHOST / FADE 12
